,Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Postcode,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
5438,2575,1012237501.0,,1-01223-7501,1085084,661,AMSTERDAM AVENUE,Manhattan,10025.0,Filed,84.6,83.4,113.3,111.9,Not Available,No,None,Not Available,776.3,647.4,128.9,121297,115297.0,Multifamily Housing,2.0,40.791638,-73.97211999999999,7.0,6.0,177.0,1032532.0,Upper West Side                                                            
6823,6263,2032090060.0,,2032090060,2014565,2305,GRAND AVENUE,Bronx,10468.0,Filed,68.7,68.6,100.7,100.6,Not Available,No,None,Not Available,263.4,190.7,72.7,65315,59377.0,Multifamily Housing,1.0,40.860138,-73.905038,7.0,14.0,253.0,2014565.0,Kingsbridge Heights                                                        
7538,7162,2057160500.0,,2057160500,2083245,2500,JOHNSON AVENUE,Bronx,10463.0,Filed,,Not Available,,Not Available,50.81,Yes,ABS,Not Available,,,,489720,466400.0,Multifamily Housing,1.0,40.877162,-73.917861,8.0,11.0,29302.0,2083245.0,Spuyten Duyvil-Kingsbridge                                                 
11050,9980,4005850035.0,,4-00585-0035,4007357,34-20,30 STREET,Queens,11106.0,Filed,95.7,95.7,137.4,137.5,68.47,Yes,ABS,Not Available,419.6,313.4,106.2,73080,62640.0,Multifamily Housing,1.0,,,,,,,
15715,13543,2044110300.0,,,,1770,STILLWELL AVENUE,Bronx,10469.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,54000.0,,1.0,40.858063,-73.834696,11.0,13.0,284.0,2102042.0,Van Nest-Morris Park-Westchester Square                                    
5966,2167,1010760043.0,,1010760043,1806507,520,WEST   48 STREET,Manhattan,10036.0,Filed,78,77.8,145.1,144.9,52.28,Yes,ABS,Not Available,472.7,239.8,232.9,94612,90107.0,Multifamily Housing,1.0,40.76396,-73.99398199999999,4.0,3.0,129.0,1087113.0,Clinton                                                                    
3786,4371,1018320010.0,,1-01832-0010,1055256,41,WEST   96 STREET,Manhattan,10025.0,Filed,59.5,59.2,86.3,86,26.67,Yes,ABS,Not Available,339.6,248.9,90.7,97600,93857.0,Multifamily Housing,1.0,40.792355,-73.966312,7.0,7.0,181.0,1055256.0,Upper West Side                                                            
11560,10630,4028050010.0,,4028050010,4062883,74-04,GRAND AVENUE,Queens,11373.0,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,154.2,,154337,154337.0,Self-Storage Facility,1.0,,,,,,,
10619,8137,3030780001.0,,3-03078-0001 Multiple,3338422,29,LEONARD STREET,Brooklyn,11206.0,Filed,89.8,89.8,136.5,136.6,Not Available,No,None,Not Available,2068.7,1431.5,637.2,228600,758750.0,Multifamily Housing,2.0,40.704233,-73.946055,1.0,34.0,491.0,3327972.0,East Williamsburg                                                          
99,15025,1010560001.0,,1010560001, 1081659; 1081660; 1081664; 1081665; 1081666; 1081667; 1081668; 1081669; 1081670;1081674;1081675,,,Manhattan,,Not on Covered Buildings List,55.2,55.3,106.1,106.2,Not Available,,None,Not Available,236.5,112.8,123.7,66000,,Multifamily Housing,,,,,,,,
15000,13644,3001460053.0,,,,523,FULTON STREET,Brooklyn,11201.0,No Submission Matched to BBL,,,,,,No,None,,,,,,114000.0,,1.0,40.690279,-73.984376,2.0,33.0,15.0,3000323.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
4564,5219,1021800610.0,,1021800610,1064474,700,FT WASHINGTON AVENUE,Manhattan,10040.0,Filed,35,35,63.3,63.3,Not Available,No,None,Not Available,231,137.9,93.1,87572,83402.0,Multifamily Housing,1.0,40.857463,-73.935331,12.0,10.0,281.0,1064474.0,Washington Heights North                                                   
14877,13565,2048350059.0,,,,642,EAST  233 STREET    ,Bronx,10466.0,No Submission Matched to BBL,,,,,,,None,,,,,,68546.0,,1.0,40.893993,-73.859278,12.0,12.0,420.0,2093685.0,Williamsbridge-Olinville                                                   
1577,1777,1008957501.0,,1008957501,1019495,104,EAST   40 STREET,Manhattan,10016.0,Filed,84.6,84.3,169.8,168.8,Not Available,No,None,71,342.3,174.3,168,52188,66567.0,Office,1.0,40.750624,-73.978117,6.0,4.0,80.0,1019495.0,Murray Hill-Kips Bay                                                       
1444,1647,1008710044.0,,1-00871-0044,1017804,160,3 AVENUE,Manhattan,10003.0,Filed,100.6,100.2,180.1,179.8,Not Available,No,None,Not Available,985.1,0,985.1,113428,111428.0,Multifamily Housing,1.0,40.734437,-73.986357,6.0,2.0,50.0,1017804.0,Gramercy                                                                   
4411,5055,1021590035.0,,1-02159-0035,1063852,461,AUDUBON AVENUE,Manhattan,10040.0,Filed,149.4,147.2,188.4,185.8,420.59,Yes,ABS,Not Available,620.4,541.7,78.7,55380,55380.0,Multifamily Housing,1.0,40.853235,-73.929039,12.0,10.0,277.0,1063852.0,Washington Heights North                                                   
8119,5688,2026070038.0,,2-02607-0038,2114987,1090,FRANKLIN AVENUE,Bronx,10456.0,Filed,94.1,93.4,138.5,137.8,Not Available,No,None,Not Available,359.5,259.1,100.4,65000,54560.0,Multifamily Housing,1.0,40.827647,-73.9065,3.0,16.0,185.0,2114987.0,Morrisania-Melrose                                                         
6982,6439,2032840048.0,,2032840048,2016564,2866,MARION AVENUE,Bronx,10458.0,Filed,104.6,102.1,140.7,137.6,Not Available,No,None,Not Available,465.3,386.6,78.7,59040,71652.0,Multifamily Housing,1.0,40.868417,-73.885126,7.0,15.0,40702.0,2016564.0,Bedford Park-Fordham North                                                 
14113,14006,3054360068.0,,,,1515,47 STREET,Brooklyn,11219.0,No Submission Matched to BBL,,,,,,No,None,,,,,,64530.0,,1.0,40.63316,-73.985989,12.0,44.0,234.0,3128609.0,Borough Park                                                               
2396,2776,1012630014.0,,1-01263-0014,1034477,37,WEST   47 STREET,Manhattan,10036.0,Filed,80.1,79.8,176.1,175.9,Not Available,Yes,None,76,639,270.1,368.9,101422,85952.0,Office,1.0,40.757220000000004,-73.979877,5.0,4.0,96.0,1034477.0,Midtown-Midtown South                                                      
14888,13547,2045040412.0,,,,1806,EAST GUN HILL ROAD,Bronx,10469.0,No Submission Matched to BBL,,,,,,No,None,,,,,,132200.0,,1.0,40.863902,-73.833839,11.0,13.0,310.0,2100885.0,Allerton-Pelham Gardens                                                    
589,619,1005520062.0,,1005520062,1008894,32,WASHINGTON SQUARE W,Manhattan,10011.0,Filed,,Not Available,,Not Available,20.82,Yes,ABS,Not Available,,231.8,,64622,60583.0,Multifamily Housing,1.0,40.731817,-73.999271,2.0,1.0,65.0,1008894.0,West Village                                                               
